cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
Dragoness the Wicked Knight,1,70681994,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-086
Mystical Sheep #2,3,83464209,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN037
Hinotama Soul,3,96851799,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-026
Hinotama,4,46130346,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-056
Dissolverock,2,40826495,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN031
Charubin the Fire Knight,4,37421579,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-015
Masaki the Legendary Swordsman,2,44287299,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-038
Flame Manipulator,1,34460851,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN016
Turtle Tiger,3,37313348,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN023
Mystical Moon,2,36607978,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN094
Dark Energy,2,4614116,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-088
Mystical Elf,2,15025844,Super Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-062
Kagemusha of the Blue Flame,4,15401633,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN028
Umi,6,22702055,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN050
Hitotsu-Me Giant,3,76184692,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN002
The 13th Grave,1,32864,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN014
Beast Fangs,3,46009906,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-041
Dark King of the Abyss,4,53375573,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN020
Silver Fang,1,90357090,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-010
Book of Secret Arts,2,91595718,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN043
Aqua Madoor,1,85639257,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-027
Kurama,1,85705804,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN039
Hard Armor,4,20060230,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN074
Larvas,2,94675535,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN073
Spirit of the Harp,1,80770678,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN078
Sogen,2,86318356,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN049
M-Warrior #1,1,56342351,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-076
Karbonala Warrior,3,54541900,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN067
King Fog,2,84686841,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-036
Succubus Knight,2,55291359,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-117
Terra the Terrible,2,63308047,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-080
Petit Angel,2,38142739,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN025
Beaver Warrior,2,32452818,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN064
Skull Red Bird,2,10202894,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-105
Goblin's Secret Remedy,1,11868825,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN099
Wasteland,2,23424603,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-047
Enchanting Mermaid,1,75376965,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-084
Armaill,2,53153481,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-079
Violet Crystal,3,15052462,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN042
Giant Soldier of Stone,1,13039848,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN068
Darkworld Thorns,3,43500484,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-114
Tyhone,1,72842870,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN063
Power of Kaishin,3,77027445,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-044
Green Phantom King,3,22910685,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN034
M-Warrior #2,1,92731455,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-077
Legendary Sword,1,61854111,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN040
Pot of Greed,1,55144522,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN119
Root Water,1,39004808,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN032
Vile Germs,2,39774685,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-090
Armed Ninja,1,9076207,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-106
Swords of Revealing Light,1,72302403,Super Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-101
Steel Ogre Grotto #1,2,29172562,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN112
Hane-Hane,2,7089711,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-110
Misairuzame,4,33178416,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN111
Mammoth Graveyard,1,40374923,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-009
Fusionist,1,1641882,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN022
Sparks,1,76103675,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-055
Spike Seadra,1,85326399,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-103
Metal Dragon,1,9293977,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-102
Skull Servant,1,32274490,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-004
Big Eye,4,16768387,Common,M,1st Edition,Metal Raiders,MRD-EN017
Tainted Wisdom,4,28725004,Common,M,1st Edition,Metal Raiders,MRD-EN081
Ancient Brain,4,42431843,Common,M,1st Edition,Metal Raiders,MRD-082
Protector of the Throne,1,10071456,Common,M,1st Edition,Metal Raiders,MRD-087
Leghul,3,12472242,Common,M,1st Edition,Metal Raiders,MRD-031
Blue-Winged Crown,4,41396436,Common,M,1st Edition,Metal Raiders,MRD-EN122
Destroyer Golem,3,73481154,Common,M,1st Edition,Metal Raiders,MRD-040
Ground Attacker Bugroth,3,58314394,Common,M,1st Edition,Metal Raiders,MRD-022
Witch's Apprentice,2,80741828,Rare,M,1st Edition,Metal Raiders,MRD-EN121
Bottom Dweller,3,81386177,Common,M,1st Edition,Metal Raiders,MRD-EN039
Lava Battleguard,3,20394040,Common,M,1st Edition,Metal Raiders,MRD-EN115
Jinzo #7,1,32809211,Common,M,1st Edition,Metal Raiders,MRD-035
Soul Release,2,5758500,Common,M,1st Edition,Metal Raiders,MRD-058
Leogun,2,10538007,Common,M,1st Edition,Metal Raiders,MRD-033
Germ Infection,3,24668830,Common,M,1st Edition,Metal Raiders,MRD-EN136
Star Boy,1,8201910,Rare,M,1st Edition,Metal Raiders,MRD-109
Barrel Dragon,1,81480460,Ultra Rare,M,1st Edition,Metal Raiders,MRD-EN126
King of Yamimakai,1,69455834,Common,M,1st Edition,Metal Raiders,MRD-074
Crass Clown,4,93889755,Common,M,1st Edition,Metal Raiders,MRD-EN078
The Cheerful Coffin,2,41142615,Common,M,1st Edition,Metal Raiders,MRD-EN059
Empress Judge,3,15237615,Common,M,1st Edition,Metal Raiders,MRD-046
Queen's Double,1,5901497,Common,M,1st Edition,Metal Raiders,MRD-051
Lady of Faith,4,17358176,Common,M,1st Edition,Metal Raiders,MRD-EN119
Disk Magician,4,76446915,Common,M,1st Edition,Metal Raiders,MRD-053
Muka Muka,2,46657337,Rare,M,1st Edition,Metal Raiders,MRD-107
Share the Pain,4,56830749,Common,M,1st Edition,Metal Raiders,MRD-EN140
Jellyfish,4,14851496,Common,M,1st Edition,Metal Raiders,MRD-072
Bickuribox,4,25655502,Common,M,1st Edition,Metal Raiders,MRD-093
Deepsea Shark,1,28593363,Common,M,1st Edition,Metal Raiders,MRD-EN038
Musician King,2,56907389,Common,M,1st Edition,Metal Raiders,MRD-EN103
Harpie Lady,3,76812113,Common,M,1st Edition,Metal Raiders,MRD-008
Sword of Deep-Seated,4,98495314,Common,M,1st Edition,Metal Raiders,MRD-132
Dark Elf,3,21417692,Rare,M,1st Edition,Metal Raiders,MRD-EN113
Ocubeam,2,86088138,Common,M,1st Edition,Metal Raiders,MRD-EN030
Hyosube,2,2118022,Common,M,1st Edition,Metal Raiders,MRD-EN054
Petit Moth,2,58192742,Common,M,1st Edition,Metal Raiders,MRD-EN023
Illusionist Faceless Mage,2,28546905,Common,M,1st Edition,Metal Raiders,MRD-EN068
Yado Karu,3,29380133,Common,M,1st Edition,Metal Raiders,MRD-104
Mask of Darkness,3,28933734,Rare,M,1st Edition,Metal Raiders,MRD-EN014
Gate Guardian,1,25833572,Secret Rare,M,1st Edition,Metal Raiders,MRD-000
Mushroom Man #2,2,93900406,Common,M,1st Edition,Metal Raiders,MRD-EN114
Paralyzing Potion,2,50152549,Common,M,1st Edition,Metal Raiders,MRD-EN137
Little Chimera,1,68658728,Rare,M,1st Edition,Metal Raiders,MRD-117
Twin-Headed Thunder Dragon,1,54752875,Super Rare,M,1st Edition,Metal Raiders,MRD-120
7 Colored Fish,6,23771716,Common,M,1st Edition,Metal Raiders,MRD-098
Water Omotics,1,2483611,Common,M,1st Edition,Metal Raiders,MRD-EN021
Armored Lizard,3,15480588,Common,M,1st Edition,Metal Raiders,MRD-EN005
Dragon Piper,2,55763552,Common,M,1st Edition,Metal Raiders,MRD-067
Ooguchi,3,58861941,Common,M,1st Edition,Metal Raiders,MRD-032
Hoshiningen,2,67629977,Rare,M,1st Edition,Metal Raiders,MRD-102
Ancient Elf,3,93221206,Common,M,1st Edition,Metal Raiders,MRD-EN037
Feral Imp,3,41392891,Common,M,1st Edition,Metal Raiders,MRD-001
Larvae Moth,3,87756343,Common,M,1st Edition,Metal Raiders,MRD-EN007
Shield & Sword,1,52097679,Rare,M,1st Edition,Metal Raiders,MRD-131
Jirai Gumo,2,94773007,Common,M,1st Edition,Metal Raiders,MRD-EN089
Pumpking the King of Ghosts,2,29155212,Common,M,1st Edition,Metal Raiders,MRD-079
Gazelle the King of Mythical Beasts,3,5818798,Common,M,1st Edition,Metal Raiders,MRD-EN124
Rock Ogre Grotto #1,1,68846917,Common,M,1st Edition,Metal Raiders,MRD-EN004
Block Attack,1,25880422,Common,M,1st Edition,Metal Raiders,MRD-EN133
Saggi the Dark Clown,1,66602787,Common,M,1st Edition,Metal Raiders,MRD-EN066
Suijin,2,98434877,Super Rare,M,1st Edition,Metal Raiders,MRD-EN027
Launcher Spider,1,87322377,Common,M,1st Edition,Metal Raiders,MRD-EN095
Roaring Ocean Snake,3,19066538,Common,M,1st Edition,Metal Raiders,MRD-EN020
Tongyo,2,69572024,Common,M,1st Edition,Metal Raiders,MRD-EN045
Tremendous Fire,1,46918794,Common,M,1st Edition,Metal Raiders,MRD-088
Battle Steer,1,18246479,Common,M,1st Edition,Metal Raiders,MRD-064
Mystic Lamp,1,98049915,Common,M,1st Edition,Metal Raiders,MRD-EN028
Cocoon of Evolution,2,40240595,Common,M,1st Edition,Metal Raiders,MRD-EN011
Doma The Angel of Silence,3,16972957,Common,M,1st Edition,Metal Raiders,MRD-EN015
Rabid Horseman,2,94905343,Common,M,1st Edition,Metal Raiders,MRD-EN077
The Little Swordsman of Aile,2,25109950,Common,M,1st Edition,Metal Raiders,MRD-EN085
Ancient Lizard Warrior,2,43230671,Common,M,1st Edition,Metal Raiders,MRD-050
The Bistro Butcher,2,71107816,Common,M,1st Edition,Metal Raiders,MRD-108
Rainbow Flower,3,21347810,Common,M,1st Edition,Metal Raiders,MRD-042
Elegant Egotist,2,90219263,Rare,M,1st Edition,Metal Raiders,MRD-024
Kazejin,1,62340868,Super Rare,M,1st Edition,Metal Raiders,MRD-EN026
Armored Zombie,1,20277860,Common,M,1st Edition,Metal Raiders,MRD-013
Pale Beast,1,21263083,Common,M,1st Edition,Metal Raiders,MRD-047
Skull Knight,3,2504891,Common,M,1st Edition,Metal Raiders,MRD-EN123
Flame Cerebrus,3,60862676,Common,M,1st Edition,Metal Raiders,MRD-EN111
Dream Clown,2,13215230,Common,M,1st Edition,Metal Raiders,MRD-080
Crawling Dragon,2,67494157,Common,M,1st Edition,Metal Raiders,MRD-012
Kaminari Attack,2,9653271,Common,M,1st Edition,Metal Raiders,MRD-041
Blackland Fire Dragon,3,87564352,Common,M,1st Edition,Metal Raiders,MRD-062
White Magical Hat,2,15150365,Rare,M,1st Edition,Metal Raiders,MRD-EN016
Castle of Dark Illusions,2,62121,Common,M,1st Edition,Metal Raiders,MRD-073
Ryu-Kishin Powered,1,24611934,Common,M,1st Edition,Metal Raiders,MRD-092
Great Moth,1,14141448,Rare,M,1st Edition,Metal Raiders,MRD-070
Killer Needle,2,88979991,Common,M,1st Edition,Metal Raiders,MRD-006
Punished Eagle,1,74703140,Common,M,1st Edition,Metal Raiders,MRD-EN100
Steel Scorpion,2,13599884,Common,M,1st Edition,Metal Raiders,MRD-029
Baby Dragon,1,88819587,Common,M,1st Edition,Metal Raiders,MRD-061
Cannon Soldier,1,11384280,Rare,M,1st Edition,Metal Raiders,MRD-EN106
Swamp Battleguard,2,40453765,Common,M,1st Edition,Metal Raiders,MRD-063
Electric Lizard,1,55875323,Common,M,1st Edition,Metal Raiders,MRD-048
Bladefly,1,28470714,Rare,M,1st Edition,Metal Raiders,MRD-EN118
Guardian of the Labyrinth,1,89272878,Common,M,1st Edition,Metal Raiders,MRD-EN083
Masked Sorcerer,2,10189126,Rare,M,1st Edition,Metal Raiders,MRD-EN019
"Winged Dragon, Guardian of the Fortress #1",1,87796900,Common,M,1st Edition,Metal Raiders,MRD-002
Hibikime,2,64501875,Common,M,1st Edition,Metal Raiders,MRD-055
Labyrinth Tank,1,99551425,Common,M,1st Edition,Metal Raiders,MRD-091
Cyber Saurus,1,89112729,Common,M,1st Edition,Metal Raiders,MRD-EN105
Blast Juggler,1,70138455,Common,M,1st Edition,Metal Raiders,MRD-034
Giga-Tech Wolf,1,8471389,Common,M,1st Edition,Metal Raiders,MRD-EN096
Shadow Ghoul,1,30778711,Rare,M,1st Edition,Metal Raiders,MRD-090
Firegrass,1,53293545,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN018
The Furious Sea King,1,18710707,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN033
Reaper of the Cards,1,33066139,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-071
Monster Reborn,1,83764718,Ultra Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-118
Trent,1,78780140,Common,M,1st Edition,Metal Raiders,MRD-052
The Bistro Butcher,1,71107816,Common,M,1st Edition,Metal Raiders,MRD-EN108
Pale Beast,1,21263083,Common,M,1st Edition,Metal Raiders,MRD-EN047
The Immortal of Thunder,1,84926738,Common,M,1st Edition,Metal Raiders,MRD-EN099
The Unhappy Maiden,1,51275027,Common,M,1st Edition,Metal Raiders,MRD-134
Elegant Egotist,1,90219263,Rare,M,1st Edition,Metal Raiders,MRD-EN024
Leogun,1,10538007,Common,M,1st Edition,Metal Raiders,MRD-EN033
Tremendous Fire,1,46918794,Common,M,1st Edition,Metal Raiders,MRD-EN088
Jellyfish,1,14851496,Common,M,1st Edition,Metal Raiders,MRD-EN072
Mega Thunderball,1,21817254,Common,M,1st Edition,Metal Raiders,MRD-EN044
Petit Moth,1,58192742,Common,M,1st Edition,Metal Raiders,MRD-023
Great Moth,1,14141448,Rare,M,1st Edition,Metal Raiders,MRD-EN070
Seven Tools of the Bandit,1,3819470,Ultra Rare,M,1st Edition,Metal Raiders,MRD-129
King of Yamimakai,1,69455834,Common,M,1st Edition,Metal Raiders,MRD-EN074
Cyber Saurus,1,89112729,Common,M,1st Edition,Metal Raiders,MRD-105
Harpie Lady,1,76812113,Common,M,1st Edition,Metal Raiders,MRD-EN008
The Cheerful Coffin,1,41142615,Common,M,1st Edition,Metal Raiders,MRD-059
Giltia the D. Knight,1,51828629,Common,M,1st Edition,Metal Raiders,MRD-094
Kaminari Attack,1,9653271,Common,M,1st Edition,Metal Raiders,MRD-EN041
Morinphen,1,55784832,Common,M,1st Edition,Metal Raiders,MRD-043
Corroding Shark,2,34290067,Common,M,1st Edition,Tournament Pack: 1st Season,TP1-020
Wow Warrior,1,69750536,Common,M,1st Edition,Tournament Pack: 1st Season,TP1-021
Beastking of the Swamps,1,99426834,Rare,M,1st Edition,Tournament Pack: 1st Season,TP1-014
Hercules Beetle,1,52584282,Common,M,1st Edition,Tournament Pack: 1st Season,TP1-025
Wattkid,2,27324313,Common,M,1st Edition,Tournament Pack: 1st Season,TP1-016
Wodan the Resident of the Forest,1,42883273,Common,M,1st Edition,Tournament Pack: 1st Season,TP1-027
Tiger Axe,1,49791927,Rare,M,1st Edition,Tournament Pack: 1st Season,TP1-012
Rising Air Current,3,45778932,Common,M,1st Edition,Spell Ruler,SRL-099
Stone Ogre Grotto,3,15023985,Common,M,1st Edition,Spell Ruler,SRL-058
Sonic Bird,6,57617178,Common,M,1st Edition,Spell Ruler,SRL-EN093
High Tide Gyojin,2,54579801,Common,M,1st Edition,Spell Ruler,SRL-025
Chain Energy,8,79323590,Common,M,1st Edition,Spell Ruler,SRL-046
Kotodama,7,19406822,Common,M,1st Edition,Spell Ruler,SRL-EN095
Ceremonial Bell,4,20228463,Common,M,1st Edition,Spell Ruler,SRL-092
Mystic Plasma Zone,3,18161786,Common,M,1st Edition,Spell Ruler,SRL-101
UFO Turtle,2,60806437,Rare,M,1st Edition,Spell Ruler,SRL-EN081
Fairy's Hand Mirror,3,17653779,Common,M,1st Edition,Spell Ruler,SRL-EN041
Tailor of the Fickle,7,43641473,Common,M,1st Edition,Spell Ruler,SRL-EN042
Fire Kraken,3,46534755,Common,M,1st Edition,Spell Ruler,SRL-EN014
Ancient One of the Deep Forest,1,14015067,Common,M,1st Edition,Spell Ruler,SRL-018
Darkness Approaches,4,80168720,Common,M,1st Edition,Spell Ruler,SRL-EN040
Red Archery Girl,2,65570596,Common,M,1st Edition,Spell Ruler,SRL-EN030
Snake Fang,2,596051,Common,M,1st Edition,Spell Ruler,SRL-050
Rush Recklessly,3,70046172,Rare,M,1st Edition,Spell Ruler,SRL-EN043
Maha Vailo,1,93013676,Super Rare,M,1st Edition,Spell Ruler,SRL-EN012
Mechanical Snail,3,34442949,Common,M,1st Edition,Spell Ruler,SRL-EN021
Luminous Spark,2,81777047,Common,M,1st Edition,Spell Ruler,SRL-100
Horn of Light,5,38552107,Common,M,1st Edition,Spell Ruler,SRL-004
Queen Bird,3,73081602,Common,M,1st Edition,Spell Ruler,SRL-009
Horn of the Unicorn,2,64047146,Rare,M,1st Edition,Spell Ruler,SRL-054
Confiscation,1,17375316,Super Rare,M,1st Edition,Spell Ruler,SRL-038
Umiiruka,2,82999629,Common,M,1st Edition,Spell Ruler,SRL-EN097
Electric Snake,4,11324436,Common,M,1st Edition,Spell Ruler,SRL-EN008
Gaia Power,3,56594520,Common,M,1st Edition,Spell Ruler,SRL-EN096
House of Adhesive Tape,2,15083728,Common,M,1st Edition,Spell Ruler,SRL-EN064
Psychic Kappa,3,7892180,Common,M,1st Edition,Spell Ruler,SRL-EN053
Hyozanryu,2,62397231,Rare,M,1st Edition,Spell Ruler,SRL-EN075
Black Pendant,1,65169794,Super Rare,M,1st Edition,Spell Ruler,SRL-EN003
Peacock,4,20624263,Common,M,1st Edition,Spell Ruler,SRL-011
Ryu-Ran,5,2964201,Common,M,1st Edition,Spell Ruler,SRL-EN070
Eternal Rest,5,95051344,Common,M,1st Edition,Spell Ruler,SRL-060
Weather Report,5,72053645,Common,M,1st Edition,Spell Ruler,SRL-020
Dark Witch,3,35565537,Common,M,1st Edition,Spell Ruler,SRL-019
Ameba,2,95174353,Rare,M,1st Edition,Spell Ruler,SRL-010
Whiptail Crow,4,91996584,Common,M,1st Edition,Spell Ruler,SRL-027
Metal Fish,3,55998462,Common,M,1st Edition,Spell Ruler,SRL-007
Jigen Bakudan,3,90020065,Common,M,1st Edition,Spell Ruler,SRL-074
Eatgaboon,3,42578427,Common,M,1st Edition,Spell Ruler,SRL-065
Senju of the Thousand Hands,2,23401839,Rare,M,1st Edition,Spell Ruler,SRL-080
Hungry Burger,4,30243636,Common,M,1st Edition,Spell Ruler,SRL-068
Performance of Sword,4,4849037,Common,M,1st Edition,Spell Ruler,SRL-067
Flash Assailant,3,96890582,Common,M,1st Edition,Spell Ruler,SRL-082
Upstart Goblin,3,70368879,Common,M,1st Edition,Spell Ruler,SRL-EN033
Cyber Jar,2,34124316,Rare,M,1st Edition,Spell Ruler,SRL-077
Giant Turtle Who Feeds on Flames,2,96981563,Common,M,1st Edition,Spell Ruler,SRL-EN022
Malevolent Nuzzler,3,99597615,Common,M,1st Edition,Spell Ruler,SRL-005
Spear Cretin,3,58551308,Common,M,1st Edition,Spell Ruler,SRL-087
Hiro's Shadow Scout,2,81863068,Rare,M,1st Edition,Spell Ruler,SRL-EN024
Curse of Fiend,4,12470447,Common,M,1st Edition,Spell Ruler,SRL-EN032
Octoberser,1,74637266,Common,M,1st Edition,Spell Ruler,SRL-052
Penguin Knight,1,36039163,Common,M,1st Edition,Spell Ruler,SRL-EN001
Dark Zebra,1,59784896,Common,M,1st Edition,Spell Ruler,SRL-084
Guardian of the Throne Room,2,47879985,Common,M,1st Edition,Spell Ruler,SRL-013
Giant Germ,2,95178994,Rare,M,1st Edition,Spell Ruler,SRL-085
Toll,4,82003859,Common,M,1st Edition,Spell Ruler,SRL-034
Molten Destruction,4,19384334,Common,M,1st Edition,Spell Ruler,SRL-EN098
Hamburger Recipe,3,80811661,Common,M,1st Edition,Spell Ruler,SRL-063
Flying Kamakiri #1,2,84834865,Rare,M,1st Edition,Spell Ruler,SRL-091
Toon Summoned Skull,1,91842653,Ultra Rare,M,1st Edition,Spell Ruler,SRL-EN073
Liquid Beast,1,93108297,Common,M,1st Edition,Spell Ruler,SRL-023
The Reliable Guardian,3,16430187,Common,M,1st Edition,Spell Ruler,SRL-EN044
Chorus of Sanctuary,1,81380218,Common,M,1st Edition,Spell Ruler,SRL-037
Turtle Oath,5,76806714,Common,M,1st Edition,Spell Ruler,SRL-EN066
Wall Shadow,1,63162310,Common,M,1st Edition,Spell Ruler,SRL-056
Crab Turtle,2,91782219,Common,M,1st Edition,Spell Ruler,SRL-069
Twin Long Rods #2,1,29692206,Common,M,1st Edition,Spell Ruler,SRL-EN057
Mystic Tomato,1,83011277,Rare,M,1st Edition,Spell Ruler,SRL-EN094
Labyrinth Wall,1,67284908,Common,M,1st Edition,Spell Ruler,SRL-055
Tyhone #2,2,56789759,Common,M,1st Edition,Spell Ruler,SRL-EN017
Boar Soldier,1,21340051,Common,M,1st Edition,Spell Ruler,SRL-089
Banisher of the Light,1,61528025,Super Rare,M,1st Edition,Spell Ruler,SRL-EN078
Final Destiny,1,18591904,Common,M,1st Edition,Spell Ruler,SRL-035
Nimble Momonga,1,22567609,Rare,M,1st Edition,Spell Ruler,SRL-EN086
Giant Trunade,1,42703248,Super Rare,M,1st Edition,Spell Ruler,SRL-048
Minar,1,32539892,Common,M,1st Edition,Spell Ruler,SRL-015
Griggle,1,95744531,Common,M,1st Edition,Spell Ruler,SRL-EN016
Spellbinding Circle,1,18807108,Ultra Rare,M,1st Edition,Spell Ruler,SRL-006
Commencement Dance,1,43417563,Common,M,1st Edition,Spell Ruler,SRL-EN062
Gravekeeper's Servant,1,16762927,Common,M,1st Edition,Spell Ruler,SRL-031
Giant Rat,1,97017120,Rare,M,1st Edition,Spell Ruler,SRL-079
