cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
Vile Germs,1,39774685,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-090
Metal Dragon,1,9293977,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-102
Steel Ogre Grotto #1,3,29172562,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN112
Man Eater,2,93553943,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-075
Ray & Temperature,1,85309439,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-035
Monster Egg,4,36121917,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN017
Mystical Sheep #2,3,83464209,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-037
Beast Fangs,3,46009906,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN041
Dragoness the Wicked Knight,1,70681994,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN086
Book of Secret Arts,2,91595718,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN043
Tyhone,7,72842870,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN063
Wasteland,1,23424603,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-047
Laser Cannon Armor,4,77007920,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN089
Flame Ghost,1,58528964,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN029
Electro-Whip,2,37820550,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN093
Larvas,3,94675535,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN073
Pot of Greed,1,55144522,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-119
Silver Bow and Arrow,5,1557499,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-091
The Furious Sea King,2,18710707,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN033
M-Warrior #1,3,56342351,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN076
Flame Manipulator,3,34460851,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-016
Stop Defense,2,63102017,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN095
Curse of Dragon,1,28279543,Super Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN066
Mystical Moon,2,36607978,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN094
Legendary Sword,1,61854111,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN040
The 13th Grave,1,32864,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-014
Armed Ninja,2,9076207,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN106
Kagemusha of the Blue Flame,3,15401633,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-028
Spirit of the Harp,2,80770678,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN078
Masaki the Legendary Swordsman,2,44287299,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN038
Remove Trap,3,51482758,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN060
Meda Bat,2,76211194,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN083
Forest,3,87430998,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-046
Reaper of the Cards,2,33066139,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-071
Mystical Elf,1,15025844,Super Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN062
Basic Insect,3,89091579,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN008
Giant Soldier of Stone,2,13039848,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-068
Firegrass,7,53293545,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-018
Uraby,1,1784619,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-069
Silver Fang,1,90357090,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-010
Lesser Dragon,2,55444629,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-113
Two-Mouth Darkruler,3,57305373,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN030
Armaill,3,53153481,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-079
Gaia the Dragon Champion,1,66889139,Secret Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-125
Mammoth Graveyard,2,40374923,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN009
Hard Armor,1,20060230,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN074
Petit Angel,3,38142739,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN025
Misairuzame,2,33178416,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-111
Aqua Madoor,1,85639257,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN027
Witty Phantom,1,36304921,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-072
Raise Body Heat,1,51267887,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-097
Flame Swordsman,1,45231177,Super Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN003
Terra the Terrible,1,63308047,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN080
Umi,2,22702055,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-050
Gravedigger Ghoul,1,82542267,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN065
Armored Starfish,1,17535588,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN116
Dissolverock,1,40826495,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN031
Flower Wolf,1,95952802,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-107
Fireyarou,1,71407486,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-085
Final Flame,1,73134081,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-100
Trent,5,78780140,Common,M,1st Edition,Metal Raiders,MRD-052
Ground Attacker Bugroth,3,58314394,Common,M,1st Edition,Metal Raiders,MRD-022
Illusionist Faceless Mage,5,28546905,Common,M,1st Edition,Metal Raiders,MRD-EN068
Armored Zombie,4,20277860,Common,M,1st Edition,Metal Raiders,MRD-013
Killer Needle,3,88979991,Common,M,1st Edition,Metal Raiders,MRD-EN006
Crawling Dragon,4,67494157,Common,M,1st Edition,Metal Raiders,MRD-EN012
Gazelle the King of Mythical Beasts,3,5818798,Common,M,1st Edition,Metal Raiders,MRD-124
Ancient Brain,3,42431843,Common,M,1st Edition,Metal Raiders,MRD-EN082
Cannon Soldier,2,11384280,Rare,M,1st Edition,Metal Raiders,MRD-EN106
Rainbow Flower,2,21347810,Common,M,1st Edition,Metal Raiders,MRD-042
Ancient Elf,3,93221206,Common,M,1st Edition,Metal Raiders,MRD-EN037
Rock Ogre Grotto #1,1,68846917,Common,M,1st Edition,Metal Raiders,MRD-004
Destroyer Golem,2,73481154,Common,M,1st Edition,Metal Raiders,MRD-EN040
Mystic Horseman,4,68516705,Common,M,1st Edition,Metal Raiders,MRD-EN076
Robbin' Goblin,1,88279736,Rare,M,1st Edition,Metal Raiders,MRD-135
King of Yamimakai,3,69455834,Common,M,1st Edition,Metal Raiders,MRD-EN074
Crass Clown,2,93889755,Common,M,1st Edition,Metal Raiders,MRD-EN078
Blast Juggler,3,70138455,Common,M,1st Edition,Metal Raiders,MRD-EN034
Steel Scorpion,2,13599884,Common,M,1st Edition,Metal Raiders,MRD-029
Jinzo #7,3,32809211,Common,M,1st Edition,Metal Raiders,MRD-035
Cocoon of Evolution,5,40240595,Common,M,1st Edition,Metal Raiders,MRD-EN011
Swamp Battleguard,1,40453765,Common,M,1st Edition,Metal Raiders,MRD-063
Great Moth,1,14141448,Rare,M,1st Edition,Metal Raiders,MRD-070
Change of Heart,1,4031928,Ultra Rare,M,1st Edition,Metal Raiders,MRD-EN060
Petit Moth,3,58192742,Common,M,1st Edition,Metal Raiders,MRD-023
Feral Imp,6,41392891,Common,M,1st Edition,Metal Raiders,MRD-EN001
The Unhappy Maiden,2,51275027,Common,M,1st Edition,Metal Raiders,MRD-EN134
The Cheerful Coffin,1,41142615,Common,M,1st Edition,Metal Raiders,MRD-EN059
The Little Swordsman of Aile,2,25109950,Common,M,1st Edition,Metal Raiders,MRD-EN085
Launcher Spider,5,87322377,Common,M,1st Edition,Metal Raiders,MRD-EN095
Castle of Dark Illusions,3,62121,Common,M,1st Edition,Metal Raiders,MRD-EN073
Star Boy,1,8201910,Rare,M,1st Edition,Metal Raiders,MRD-EN109
Jellyfish,1,14851496,Common,M,1st Edition,Metal Raiders,MRD-072
Hibikime,2,64501875,Common,M,1st Edition,Metal Raiders,MRD-055
Pumpking the King of Ghosts,4,29155212,Common,M,1st Edition,Metal Raiders,MRD-EN079
Mushroom Man #2,3,93900406,Common,M,1st Edition,Metal Raiders,MRD-EN114
Armored Lizard,3,15480588,Common,M,1st Edition,Metal Raiders,MRD-005
Tremendous Fire,3,46918794,Common,M,1st Edition,Metal Raiders,MRD-088
Hoshiningen,2,67629977,Rare,M,1st Edition,Metal Raiders,MRD-EN102
Tainted Wisdom,2,28725004,Common,M,1st Edition,Metal Raiders,MRD-081
Jirai Gumo,2,94773007,Common,M,1st Edition,Metal Raiders,MRD-089
Punished Eagle,2,74703140,Common,M,1st Edition,Metal Raiders,MRD-100
Giga-Tech Wolf,5,8471389,Common,M,1st Edition,Metal Raiders,MRD-EN096
The Bistro Butcher,3,71107816,Common,M,1st Edition,Metal Raiders,MRD-108
Electric Lizard,3,55875323,Common,M,1st Edition,Metal Raiders,MRD-048
Milus Radiant,1,7489323,Rare,M,1st Edition,Metal Raiders,MRD-110
Mirror Force,1,44095762,Ultra Rare,M,1st Edition,Metal Raiders,MRD-138
Block Attack,5,25880422,Common,M,1st Edition,Metal Raiders,MRD-133
Labyrinth Tank,2,99551425,Common,M,1st Edition,Metal Raiders,MRD-091
Deepsea Shark,3,28593363,Common,M,1st Edition,Metal Raiders,MRD-038
Little Chimera,1,68658728,Rare,M,1st Edition,Metal Raiders,MRD-117
Blue-Winged Crown,2,41396436,Common,M,1st Edition,Metal Raiders,MRD-122
Kojikocy,2,1184620,Common,M,1st Edition,Metal Raiders,MRD-010
Empress Judge,4,15237615,Common,M,1st Edition,Metal Raiders,MRD-046
Big Eye,1,16768387,Common,M,1st Edition,Metal Raiders,MRD-017
Fake Trap,2,3027001,Rare,M,1st Edition,Metal Raiders,MRD-EN056
Musician King,4,56907389,Common,M,1st Edition,Metal Raiders,MRD-EN103
Guardian of the Labyrinth,1,89272878,Common,M,1st Edition,Metal Raiders,MRD-EN083
Dragon Piper,2,55763552,Common,M,1st Edition,Metal Raiders,MRD-067
Dream Clown,1,13215230,Common,M,1st Edition,Metal Raiders,MRD-EN080
Dark Elf,2,21417692,Rare,M,1st Edition,Metal Raiders,MRD-113
Paralyzing Potion,1,50152549,Common,M,1st Edition,Metal Raiders,MRD-137
Baby Dragon,1,88819587,Common,M,1st Edition,Metal Raiders,MRD-EN061
Giltia the D. Knight,2,51828629,Common,M,1st Edition,Metal Raiders,MRD-EN094
Bladefly,2,28470714,Rare,M,1st Edition,Metal Raiders,MRD-EN118
Thunder Dragon,2,31786629,Common,M,1st Edition,Metal Raiders,MRD-097
Larvae Moth,1,87756343,Common,M,1st Edition,Metal Raiders,MRD-EN007
Share the Pain,3,56830749,Common,M,1st Edition,Metal Raiders,MRD-140
Prevent Rat,2,549481,Common,M,1st Edition,Metal Raiders,MRD-084
Insect Soldiers of the Sky,2,7019529,Common,M,1st Edition,Metal Raiders,MRD-EN101
Mystic Lamp,1,98049915,Common,M,1st Edition,Metal Raiders,MRD-EN028
Shield & Sword,1,52097679,Rare,M,1st Edition,Metal Raiders,MRD-EN131
Tongyo,3,69572024,Common,M,1st Edition,Metal Raiders,MRD-045
Stim-Pack,1,83225447,Common,M,1st Edition,Metal Raiders,MRD-EN141
Muka Muka,1,46657337,Rare,M,1st Edition,Metal Raiders,MRD-107
Morinphen,3,55784832,Common,M,1st Edition,Metal Raiders,MRD-043
Ocubeam,1,86088138,Common,M,1st Edition,Metal Raiders,MRD-EN030
The Immortal of Thunder,2,84926738,Common,M,1st Edition,Metal Raiders,MRD-099
Kaminari Attack,2,9653271,Common,M,1st Edition,Metal Raiders,MRD-EN041
Mask of Darkness,1,28933734,Rare,M,1st Edition,Metal Raiders,MRD-EN014
Roaring Ocean Snake,3,19066538,Common,M,1st Edition,Metal Raiders,MRD-020
Bickuribox,1,25655502,Common,M,1st Edition,Metal Raiders,MRD-EN093
Tribute to The Doomed,1,79759861,Super Rare,M,1st Edition,Metal Raiders,MRD-057
Rabid Horseman,1,94905343,Common,M,1st Edition,Metal Raiders,MRD-077
Queen's Double,2,5901497,Common,M,1st Edition,Metal Raiders,MRD-EN051
Yado Karu,1,29380133,Common,M,1st Edition,Metal Raiders,MRD-104
Masked Sorcerer,2,10189126,Rare,M,1st Edition,Metal Raiders,MRD-019
Protector of the Throne,3,10071456,Common,M,1st Edition,Metal Raiders,MRD-087
Pale Beast,2,21263083,Common,M,1st Edition,Metal Raiders,MRD-047
Disk Magician,1,76446915,Common,M,1st Edition,Metal Raiders,MRD-EN053
Lava Battleguard,1,20394040,Common,M,1st Edition,Metal Raiders,MRD-EN115
Bottom Dweller,1,81386177,Common,M,1st Edition,Metal Raiders,MRD-EN039
Shadow Ghoul,1,30778711,Rare,M,1st Edition,Metal Raiders,MRD-090
Ancient Lizard Warrior,2,43230671,Common,M,1st Edition,Metal Raiders,MRD-EN050
Magician of Faith,1,31560081,Rare,M,1st Edition,Metal Raiders,MRD-EN036
Magic Jammer,1,77414722,Ultra Rare,M,1st Edition,Metal Raiders,MRD-128
Hunter Spider,1,80141480,Common,M,1st Edition,Metal Raiders,MRD-049
Flame Cerebrus,1,60862676,Common,M,1st Edition,Metal Raiders,MRD-111
White Magical Hat,2,15150365,Rare,M,1st Edition,Metal Raiders,MRD-EN016
Catapult Turtle,1,95727991,Super Rare,M,1st Edition,Metal Raiders,MRD-EN075
Ryu-Kishin Powered,1,24611934,Common,M,1st Edition,Metal Raiders,MRD-092
Crawling Dragon,1,67494157,Common,M,1st Edition,Metal Raiders,MRD-012
Stone Ogre Grotto,3,15023985,Common,M,1st Edition,Spell Ruler,SRL-058
Horn of Light,5,38552107,Common,M,1st Edition,Spell Ruler,SRL-004
Turtle Oath,4,76806714,Common,M,1st Edition,Spell Ruler,SRL-EN066
Flash Assailant,3,96890582,Common,M,1st Edition,Spell Ruler,SRL-082
Dark Zebra,3,59784896,Common,M,1st Edition,Spell Ruler,SRL-084
Penguin Knight,4,36039163,Common,M,1st Edition,Spell Ruler,SRL-EN001
Jigen Bakudan,4,90020065,Common,M,1st Edition,Spell Ruler,SRL-074
Peacock,4,20624263,Common,M,1st Edition,Spell Ruler,SRL-EN011
Giant Germ,3,95178994,Rare,M,1st Edition,Spell Ruler,SRL-EN085
Guardian of the Throne Room,2,47879985,Common,M,1st Edition,Spell Ruler,SRL-013
Crab Turtle,4,91782219,Common,M,1st Edition,Spell Ruler,SRL-EN069
Hungry Burger,4,30243636,Common,M,1st Edition,Spell Ruler,SRL-EN068
Mechanical Snail,1,34442949,Common,M,1st Edition,Spell Ruler,SRL-EN021
Rising Air Current,4,45778932,Common,M,1st Edition,Spell Ruler,SRL-099
Banisher of the Light,1,61528025,Super Rare,M,1st Edition,Spell Ruler,SRL-078
Molten Destruction,3,19384334,Common,M,1st Edition,Spell Ruler,SRL-EN098
Gravekeeper's Servant,5,16762927,Common,M,1st Edition,Spell Ruler,SRL-EN031
House of Adhesive Tape,4,15083728,Common,M,1st Edition,Spell Ruler,SRL-064
Chain Energy,1,79323590,Common,M,1st Edition,Spell Ruler,SRL-EN046
Kotodama,4,19406822,Common,M,1st Edition,Spell Ruler,SRL-095
Mother Grizzly,1,57839750,Rare,M,1st Edition,Spell Ruler,SRL-090
Electric Snake,6,11324436,Common,M,1st Edition,Spell Ruler,SRL-008
Mystic Plasma Zone,3,18161786,Common,M,1st Edition,Spell Ruler,SRL-EN101
Giant Turtle Who Feeds on Flames,5,96981563,Common,M,1st Edition,Spell Ruler,SRL-022
Hamburger Recipe,1,80811661,Common,M,1st Edition,Spell Ruler,SRL-EN063
Chorus of Sanctuary,3,81380218,Common,M,1st Edition,Spell Ruler,SRL-037
Nimble Momonga,3,22567609,Rare,M,1st Edition,Spell Ruler,SRL-EN086
Confiscation,1,17375316,Super Rare,M,1st Edition,Spell Ruler,SRL-EN038
Liquid Beast,6,93108297,Common,M,1st Edition,Spell Ruler,SRL-EN023
Toll,4,82003859,Common,M,1st Edition,Spell Ruler,SRL-EN034
Malevolent Nuzzler,2,99597615,Common,M,1st Edition,Spell Ruler,SRL-005
Wall Shadow,6,63162310,Common,M,1st Edition,Spell Ruler,SRL-EN056
The Reliable Guardian,5,16430187,Common,M,1st Edition,Spell Ruler,SRL-044
Shining Angel,2,95956346,Rare,M,1st Edition,Spell Ruler,SRL-088
Ceremonial Bell,3,20228463,Common,M,1st Edition,Spell Ruler,SRL-092
Metal Fish,3,55998462,Common,M,1st Edition,Spell Ruler,SRL-007
Dark Witch,3,35565537,Common,M,1st Edition,Spell Ruler,SRL-019
Curse of Fiend,4,12470447,Common,M,1st Edition,Spell Ruler,SRL-032
Slot Machine,2,3797883,Common,M,1st Edition,Spell Ruler,SRL-EN028
Commencement Dance,2,43417563,Common,M,1st Edition,Spell Ruler,SRL-EN062
Spear Cretin,3,58551308,Common,M,1st Edition,Spell Ruler,SRL-087
Cyber Jar,2,34124316,Rare,M,1st Edition,Spell Ruler,SRL-077
Gaia Power,3,56594520,Common,M,1st Edition,Spell Ruler,SRL-096
Ryu-Ran,2,2964201,Common,M,1st Edition,Spell Ruler,SRL-EN070
Upstart Goblin,2,70368879,Common,M,1st Edition,Spell Ruler,SRL-EN033
Luminous Spark,1,81777047,Common,M,1st Edition,Spell Ruler,SRL-100
Hyozanryu,2,62397231,Rare,M,1st Edition,Spell Ruler,SRL-075
Twin Long Rods #2,1,29692206,Common,M,1st Edition,Spell Ruler,SRL-057
Whiptail Crow,1,91996584,Common,M,1st Edition,Spell Ruler,SRL-027
Minar,3,32539892,Common,M,1st Edition,Spell Ruler,SRL-015
Griggle,2,95744531,Common,M,1st Edition,Spell Ruler,SRL-016
Eatgaboon,1,42578427,Common,M,1st Edition,Spell Ruler,SRL-065
Fairy's Hand Mirror,4,17653779,Common,M,1st Edition,Spell Ruler,SRL-041
Eternal Rest,2,95051344,Common,M,1st Edition,Spell Ruler,SRL-060
Painful Choice,1,74191942,Super Rare,M,1st Edition,Spell Ruler,SRL-049
Tailor of the Fickle,2,43641473,Common,M,1st Edition,Spell Ruler,SRL-042
Hiro's Shadow Scout,1,81863068,Rare,M,1st Edition,Spell Ruler,SRL-024
Red Archery Girl,3,65570596,Common,M,1st Edition,Spell Ruler,SRL-EN030
Sonic Bird,4,57617178,Common,M,1st Edition,Spell Ruler,SRL-093
Manga Ryu-Ran,1,38369349,Rare,M,1st Edition,Spell Ruler,SRL-071
Fire Kraken,5,46534755,Common,M,1st Edition,Spell Ruler,SRL-014
Octoberser,2,74637266,Common,M,1st Edition,Spell Ruler,SRL-EN052
Darkness Approaches,2,80168720,Common,M,1st Edition,Spell Ruler,SRL-EN040
Final Destiny,5,18591904,Common,M,1st Edition,Spell Ruler,SRL-EN035
Tyhone #2,2,56789759,Common,M,1st Edition,Spell Ruler,SRL-EN017
Boar Soldier,3,21340051,Common,M,1st Edition,Spell Ruler,SRL-EN089
Umiiruka,2,82999629,Common,M,1st Edition,Spell Ruler,SRL-EN097
Karate Man,1,23289281,Rare,M,1st Edition,Spell Ruler,SRL-EN083
Giant Trunade,1,42703248,Super Rare,M,1st Edition,Spell Ruler,SRL-EN048
Ancient One of the Deep Forest,1,14015067,Common,M,1st Edition,Spell Ruler,SRL-EN018
Giant Rat,1,97017120,Rare,M,1st Edition,Spell Ruler,SRL-079
Queen Bird,2,73081602,Common,M,1st Edition,Spell Ruler,SRL-009
Rush Recklessly,2,70046172,Rare,M,1st Edition,Spell Ruler,SRL-EN043
High Tide Gyojin,1,54579801,Common,M,1st Edition,Spell Ruler,SRL-EN025
Labyrinth Wall,1,67284908,Common,M,1st Edition,Spell Ruler,SRL-EN055
Flying Kamakiri #1,2,84834865,Rare,M,1st Edition,Spell Ruler,SRL-EN091
Ameba,2,95174353,Rare,M,1st Edition,Spell Ruler,SRL-EN010
Weather Report,1,72053645,Common,M,1st Edition,Spell Ruler,SRL-EN020
Psychic Kappa,2,7892180,Common,M,1st Edition,Spell Ruler,SRL-EN053
Performance of Sword,2,4849037,Common,M,1st Edition,Spell Ruler,SRL-EN067
Snake Fang,1,596051,Common,M,1st Edition,Spell Ruler,SRL-EN050
Maha Vailo,1,93013676,Super Rare,M,1st Edition,Magic Ruler,MRL-012
Black Pendant,1,65169794,Super Rare,M,1st Edition,Magic Ruler,MRL-003
Horn of the Unicorn,1,64047146,Rare,M,1st Edition,Magic Ruler,MRL-054
Sangan,1,26202165,Rare,M,1st Edition,Metal Raiders,MRD-EN069
