cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
Fireyarou,2,71407486,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-085
Follow Wind,4,98252586,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN098
Dragoness the Wicked Knight,3,70681994,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-086
Larvas,1,94675535,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN073
One-Eyed Shield Dragon,2,33064647,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-087
Masaki the Legendary Swordsman,4,44287299,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-038
Basic Insect,2,89091579,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN008
Raise Body Heat,1,51267887,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-097
Goblin's Secret Remedy,1,11868825,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-099
Yami,2,59197169,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-051
Firegrass,3,53293545,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN018
Silver Fang,1,90357090,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN010
Turtle Tiger,3,37313348,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN023
Karbonala Warrior,1,54541900,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN067
Fiend Reflection #2,2,2863439,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-021
Steel Ogre Grotto #1,1,29172562,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-112
Dark Energy,5,4614116,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN088
Trial of Nightmare,4,77827521,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-012
Dragon Capture Jar,4,50045299,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN045
Machine Conversion Factory,2,25769732,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-096
Kumootoko,2,56283725,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-082
Mystical Moon,1,36607978,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN094
Petit Dragon,2,75356564,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN024
Frenzied Panda,3,98818516,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN081
Fusionist,2,1641882,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-022
Gaia the Dragon Champion,1,66889139,Secret Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN125
Root Water,1,39004808,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN032
The Furious Sea King,3,18710707,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN033
Tripwire Beast,2,45042329,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-104
The 13th Grave,1,32864,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-014
Book of Secret Arts,2,91595718,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN043
Hinotama Soul,3,96851799,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-026
Armed Ninja,2,9076207,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN106
Exodia the Forbidden One,1,33396948,Ultra Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-124
Flame Manipulator,3,34460851,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-016
Red Medicine,1,38199696,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN054
Forest,4,87430998,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN046
Meda Bat,1,76211194,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN083
Beast Fangs,1,46009906,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN041
Two-Mouth Darkruler,2,57305373,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN030
Giant Soldier of Stone,1,13039848,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-068
Raigeki,1,12580477,Super Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-053
Kurama,2,85705804,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-039
Kagemusha of the Blue Flame,2,15401633,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN028
Dissolverock,2,40826495,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN031
Remove Trap,3,51482758,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN060
Violet Crystal,2,15052462,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN042
Power of Kaishin,1,77027445,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN044
Stop Defense,1,63102017,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN095
Dragon Treasure,1,1435851,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN092
Armaill,1,53153481,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-079
Reaper of the Cards,2,33066139,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN071
Electro-Whip,1,37820550,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-093
Gravedigger Ghoul,1,82542267,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN065
Mammoth Graveyard,2,40374923,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-009
Beaver Warrior,1,32452818,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-064
Dark King of the Abyss,2,53375573,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-020
Flame Ghost,1,58528964,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN029
Left Arm of the Forbidden One,1,7902349,Ultra Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-123
Skull Red Bird,1,10202894,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-105
Hitotsu-Me Giant,1,76184692,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN002
Spirit of the Harp,1,80770678,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN078
Right Arm of the Forbidden One,1,70903634,Ultra Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN122
Blue-Winged Crown,2,41396436,Common,M,1st Edition,Metal Raiders,MRD-EN122
Pumpking the King of Ghosts,2,29155212,Common,M,1st Edition,Metal Raiders,MRD-EN079
Stim-Pack,6,83225447,Common,M,1st Edition,Metal Raiders,MRD-EN141
Mystic Lamp,4,98049915,Common,M,1st Edition,Metal Raiders,MRD-028
Armored Zombie,3,20277860,Common,M,1st Edition,Metal Raiders,MRD-EN013
Ancient Brain,1,42431843,Common,M,1st Edition,Metal Raiders,MRD-082
Pale Beast,3,21263083,Common,M,1st Edition,Metal Raiders,MRD-047
Morinphen,3,55784832,Common,M,1st Edition,Metal Raiders,MRD-EN043
Fake Trap,2,3027001,Rare,M,1st Edition,Metal Raiders,MRD-056
Hibikime,3,64501875,Common,M,1st Edition,Metal Raiders,MRD-EN055
Queen's Double,5,5901497,Common,M,1st Edition,Metal Raiders,MRD-051
Insect Soldiers of the Sky,2,7019529,Common,M,1st Edition,Metal Raiders,MRD-101
Labyrinth Tank,5,99551425,Common,M,1st Edition,Metal Raiders,MRD-091
7 Colored Fish,5,23771716,Common,M,1st Edition,Metal Raiders,MRD-098
Prevent Rat,3,549481,Common,M,1st Edition,Metal Raiders,MRD-EN084
Doma The Angel of Silence,2,16972957,Common,M,1st Edition,Metal Raiders,MRD-EN015
Robbin' Goblin,1,88279736,Rare,M,1st Edition,Metal Raiders,MRD-EN135
Jirai Gumo,2,94773007,Common,M,1st Edition,Metal Raiders,MRD-089
Crawling Dragon,1,67494157,Common,M,1st Edition,Metal Raiders,MRD-012
Kojikocy,2,1184620,Common,M,1st Edition,Metal Raiders,MRD-EN010
Dragon Piper,1,55763552,Common,M,1st Edition,Metal Raiders,MRD-EN067
Harpie Lady,2,76812113,Common,M,1st Edition,Metal Raiders,MRD-EN008
Dark Elf,2,21417692,Rare,M,1st Edition,Metal Raiders,MRD-EN113
Magic Jammer,1,77414722,Ultra Rare,M,1st Edition,Metal Raiders,MRD-128
Battle Steer,2,18246479,Common,M,1st Edition,Metal Raiders,MRD-064
Yado Karu,4,29380133,Common,M,1st Edition,Metal Raiders,MRD-104
Leghul,4,12472242,Common,M,1st Edition,Metal Raiders,MRD-031
Armored Lizard,3,15480588,Common,M,1st Edition,Metal Raiders,MRD-005
Thunder Dragon,3,31786629,Common,M,1st Edition,Metal Raiders,MRD-EN097
Killer Needle,3,88979991,Common,M,1st Edition,Metal Raiders,MRD-006
Ancient Lizard Warrior,1,43230671,Common,M,1st Edition,Metal Raiders,MRD-050
Cannon Soldier,4,11384280,Rare,M,1st Edition,Metal Raiders,MRD-EN106
Empress Judge,2,15237615,Common,M,1st Edition,Metal Raiders,MRD-046
Saggi the Dark Clown,3,66602787,Common,M,1st Edition,Metal Raiders,MRD-066
Giltia the D. Knight,2,51828629,Common,M,1st Edition,Metal Raiders,MRD-094
Ocubeam,5,86088138,Common,M,1st Edition,Metal Raiders,MRD-030
Shield & Sword,1,52097679,Rare,M,1st Edition,Metal Raiders,MRD-131
Kuriboh,1,40640057,Super Rare,M,1st Edition,Metal Raiders,MRD-071
Swamp Battleguard,3,40453765,Common,M,1st Edition,Metal Raiders,MRD-063
Leogun,2,10538007,Common,M,1st Edition,Metal Raiders,MRD-033
Roaring Ocean Snake,2,19066538,Common,M,1st Edition,Metal Raiders,MRD-EN020
Castle of Dark Illusions,4,62121,Common,M,1st Edition,Metal Raiders,MRD-073
Petit Moth,2,58192742,Common,M,1st Edition,Metal Raiders,MRD-EN023
Share the Pain,1,56830749,Common,M,1st Edition,Metal Raiders,MRD-EN140
The Immortal of Thunder,3,84926738,Common,M,1st Edition,Metal Raiders,MRD-099
Mega Thunderball,1,21817254,Common,M,1st Edition,Metal Raiders,MRD-EN044
Mystic Horseman,2,68516705,Common,M,1st Edition,Metal Raiders,MRD-EN076
Guardian of the Labyrinth,3,89272878,Common,M,1st Edition,Metal Raiders,MRD-083
Rainbow Flower,4,21347810,Common,M,1st Edition,Metal Raiders,MRD-042
Destroyer Golem,2,73481154,Common,M,1st Edition,Metal Raiders,MRD-040
Launcher Spider,1,87322377,Common,M,1st Edition,Metal Raiders,MRD-EN095
Witch's Apprentice,1,80741828,Rare,M,1st Edition,Metal Raiders,MRD-EN121
Gazelle the King of Mythical Beasts,1,5818798,Common,M,1st Edition,Metal Raiders,MRD-EN124
Cyber Saurus,2,89112729,Common,M,1st Edition,Metal Raiders,MRD-105
Rock Ogre Grotto #1,1,68846917,Common,M,1st Edition,Metal Raiders,MRD-EN004
Milus Radiant,2,7489323,Rare,M,1st Edition,Metal Raiders,MRD-110
Gate Guardian,2,25833572,Secret Rare,M,1st Edition,Metal Raiders,MRD-EN000
Baby Dragon,2,88819587,Common,M,1st Edition,Metal Raiders,MRD-061
Dream Clown,2,13215230,Common,M,1st Edition,Metal Raiders,MRD-EN080
Musician King,2,56907389,Common,M,1st Edition,Metal Raiders,MRD-103
Feral Imp,2,41392891,Common,M,1st Edition,Metal Raiders,MRD-001
Niwatori,3,7805359,Common,M,1st Edition,Metal Raiders,MRD-112
Kaminari Attack,4,9653271,Common,M,1st Edition,Metal Raiders,MRD-041
Disk Magician,3,76446915,Common,M,1st Edition,Metal Raiders,MRD-EN053
Shadow Ghoul,3,30778711,Rare,M,1st Edition,Metal Raiders,MRD-090
Jellyfish,1,14851496,Common,M,1st Edition,Metal Raiders,MRD-072
Ancient Elf,1,93221206,Common,M,1st Edition,Metal Raiders,MRD-EN037
The Unhappy Maiden,1,51275027,Common,M,1st Edition,Metal Raiders,MRD-134
Electric Lizard,1,55875323,Common,M,1st Edition,Metal Raiders,MRD-EN048
Witch of the Black Forest,1,78010363,Rare,M,1st Edition,Metal Raiders,MRD-EN116
Tainted Wisdom,2,28725004,Common,M,1st Edition,Metal Raiders,MRD-EN081
Hyosube,3,2118022,Common,M,1st Edition,Metal Raiders,MRD-EN054
Block Attack,4,25880422,Common,M,1st Edition,Metal Raiders,MRD-EN133
Crass Clown,2,93889755,Common,M,1st Edition,Metal Raiders,MRD-EN078
Princess of Tsurugi,1,51371017,Rare,M,1st Edition,Metal Raiders,MRD-086
Steel Scorpion,2,13599884,Common,M,1st Edition,Metal Raiders,MRD-EN029
Lava Battleguard,1,20394040,Common,M,1st Edition,Metal Raiders,MRD-115
Trent,2,78780140,Common,M,1st Edition,Metal Raiders,MRD-052
Horn of Heaven,1,98069388,Ultra Rare,M,1st Edition,Metal Raiders,MRD-130
Hunter Spider,1,80141480,Common,M,1st Edition,Metal Raiders,MRD-049
Bickuribox,3,25655502,Common,M,1st Edition,Metal Raiders,MRD-093
The Bistro Butcher,1,71107816,Common,M,1st Edition,Metal Raiders,MRD-EN108
Sangan,1,26202165,Rare,M,1st Edition,Metal Raiders,MRD-069
Lady of Faith,2,17358176,Common,M,1st Edition,Metal Raiders,MRD-119
Ryu-Kishin Powered,2,24611934,Common,M,1st Edition,Metal Raiders,MRD-092
Little Chimera,2,68658728,Rare,M,1st Edition,Metal Raiders,MRD-EN117
Water Omotics,2,2483611,Common,M,1st Edition,Metal Raiders,MRD-021
Tremendous Fire,1,46918794,Common,M,1st Edition,Metal Raiders,MRD-088
Great Moth,1,14141448,Rare,M,1st Edition,Metal Raiders,MRD-EN070
Thousand Dragon,1,41462083,Secret Rare,M,1st Edition,Metal Raiders,MRD-143
Ring of Magnetism,2,20436034,Common,M,1st Edition,Metal Raiders,MRD-139
King of Yamimakai,1,69455834,Common,M,1st Edition,Metal Raiders,MRD-EN074
Heavy Storm,2,19613556,Super Rare,M,1st Edition,Metal Raiders,MRD-EN142
Punished Eagle,1,74703140,Common,M,1st Edition,Metal Raiders,MRD-100
Protector of the Throne,1,10071456,Common,M,1st Edition,Metal Raiders,MRD-087
Twin-Headed Thunder Dragon,1,54752875,Super Rare,M,1st Edition,Metal Raiders,MRD-EN120
Deepsea Shark,1,28593363,Common,M,1st Edition,Metal Raiders,MRD-EN038
Jinzo #7,1,32809211,Common,M,1st Edition,Metal Raiders,MRD-EN035
Flame Cerebrus,1,60862676,Common,M,1st Edition,Metal Raiders,MRD-111
Masked Sorcerer,1,10189126,Rare,M,1st Edition,Metal Raiders,MRD-019
Paralyzing Potion,3,50152549,Common,M,1st Edition,Metal Raiders,MRD-EN137
The Little Swordsman of Aile,1,25109950,Common,M,1st Edition,Metal Raiders,MRD-EN085
Big Eye,2,16768387,Common,M,1st Edition,Metal Raiders,MRD-017
Bottom Dweller,1,81386177,Common,M,1st Edition,Metal Raiders,MRD-EN039
Soul Release,1,5758500,Common,M,1st Edition,Metal Raiders,MRD-EN058
Armored Zombie,1,20277860,Common,M,1st Edition,Metal Raiders,MRD-013
Feral Imp,1,41392891,Common,M,1st Edition,Metal Raiders,MRD-EN001
Dragon Piper,1,55763552,Common,M,1st Edition,Metal Raiders,MRD-067
Kaminari Attack,1,9653271,Common,M,1st Edition,Metal Raiders,MRD-EN041
Mushroom Man #2,1,93900406,Common,M,1st Edition,Metal Raiders,MRD-114
Hercules Beetle,1,52584282,Common,M,1st Edition,Tournament Pack: 1st Season,TP1-025
The Judgement Hand,1,28003512,Common,M,1st Edition,Tournament Pack: 1st Season,TP1-026
Shining Friendship,1,82085619,Common,M,1st Edition,Tournament Pack: 1st Season,TP1-024
Wodan the Resident of the Forest,2,42883273,Common,M,1st Edition,Tournament Pack: 1st Season,TP1-027
Bean Soldier,1,84990171,Common,M,1st Edition,Tournament Pack: 1st Season,TP1-018
Corroding Shark,1,34290067,Common,M,1st Edition,Tournament Pack: 1st Season,TP1-020
The Statue of Easter Island,1,10262698,Common,M,1st Edition,Tournament Pack: 1st Season,TP1-019
"Winged Dragon, Guardian of the Fortress #2",1,57405307,Common,M,1st Edition,Tournament Pack: 1st Season,TP1-022
Tyhone #2,3,56789759,Common,M,1st Edition,Spell Ruler,SRL-017
Jigen Bakudan,5,90020065,Common,M,1st Edition,Spell Ruler,SRL-EN074
Peacock,4,20624263,Common,M,1st Edition,Spell Ruler,SRL-EN011
Snake Fang,5,596051,Common,M,1st Edition,Spell Ruler,SRL-050
Final Destiny,2,18591904,Common,M,1st Edition,Spell Ruler,SRL-EN035
Labyrinth Wall,3,67284908,Common,M,1st Edition,Spell Ruler,SRL-055
Upstart Goblin,3,70368879,Common,M,1st Edition,Spell Ruler,SRL-033
Giant Germ,1,95178994,Rare,M,1st Edition,Spell Ruler,SRL-085
The Forceful Sentry,1,42829885,Ultra Rare,M,1st Edition,Spell Ruler,SRL-EN045
Mechanical Snail,4,34442949,Common,M,1st Edition,Spell Ruler,SRL-EN021
Ryu-Ran,4,2964201,Common,M,1st Edition,Spell Ruler,SRL-EN070
Octoberser,3,74637266,Common,M,1st Edition,Spell Ruler,SRL-052
Wall Shadow,7,63162310,Common,M,1st Edition,Spell Ruler,SRL-EN056
Guardian of the Throne Room,4,47879985,Common,M,1st Edition,Spell Ruler,SRL-013
Fairy's Hand Mirror,2,17653779,Common,M,1st Edition,Spell Ruler,SRL-041
Mother Grizzly,4,57839750,Rare,M,1st Edition,Spell Ruler,SRL-090
Spellbinding Circle,1,18807108,Ultra Rare,M,1st Edition,Spell Ruler,SRL-006
Umiiruka,5,82999629,Common,M,1st Edition,Spell Ruler,SRL-097
Red Archery Girl,1,65570596,Common,M,1st Edition,Spell Ruler,SRL-030
Rising Air Current,3,45778932,Common,M,1st Edition,Spell Ruler,SRL-EN099
Electric Snake,4,11324436,Common,M,1st Edition,Spell Ruler,SRL-EN008
House of Adhesive Tape,3,15083728,Common,M,1st Edition,Spell Ruler,SRL-064
Hyozanryu,2,62397231,Rare,M,1st Edition,Spell Ruler,SRL-075
High Tide Gyojin,4,54579801,Common,M,1st Edition,Spell Ruler,SRL-EN025
Spear Cretin,1,58551308,Common,M,1st Edition,Spell Ruler,SRL-EN087
Molten Destruction,3,19384334,Common,M,1st Edition,Spell Ruler,SRL-EN098
Minar,5,32539892,Common,M,1st Edition,Spell Ruler,SRL-015
Hungry Burger,3,30243636,Common,M,1st Edition,Spell Ruler,SRL-EN068
Boar Soldier,4,21340051,Common,M,1st Edition,Spell Ruler,SRL-EN089
Ameba,2,95174353,Rare,M,1st Edition,Spell Ruler,SRL-010
Twin Long Rods #2,4,29692206,Common,M,1st Edition,Spell Ruler,SRL-057
Tailor of the Fickle,3,43641473,Common,M,1st Edition,Spell Ruler,SRL-042
Liquid Beast,3,93108297,Common,M,1st Edition,Spell Ruler,SRL-023
Turtle Oath,2,76806714,Common,M,1st Edition,Spell Ruler,SRL-EN066
Whiptail Crow,2,91996584,Common,M,1st Edition,Spell Ruler,SRL-EN027
Dark Zebra,5,59784896,Common,M,1st Edition,Spell Ruler,SRL-EN084
Flying Kamakiri #1,2,84834865,Rare,M,1st Edition,Spell Ruler,SRL-EN091
Confiscation,1,17375316,Super Rare,M,1st Edition,Spell Ruler,SRL-EN038
Gaia Power,3,56594520,Common,M,1st Edition,Spell Ruler,SRL-096
Griggle,2,95744531,Common,M,1st Edition,Spell Ruler,SRL-016
Eatgaboon,3,42578427,Common,M,1st Edition,Spell Ruler,SRL-EN065
Malevolent Nuzzler,2,99597615,Common,M,1st Edition,Spell Ruler,SRL-005
Chorus of Sanctuary,4,81380218,Common,M,1st Edition,Spell Ruler,SRL-EN037
Painful Choice,1,74191942,Super Rare,M,1st Edition,Spell Ruler,SRL-EN049
Metal Fish,5,55998462,Common,M,1st Edition,Spell Ruler,SRL-EN007
Queen Bird,4,73081602,Common,M,1st Edition,Spell Ruler,SRL-009
Slot Machine,3,3797883,Common,M,1st Edition,Spell Ruler,SRL-EN028
Eternal Rest,4,95051344,Common,M,1st Edition,Spell Ruler,SRL-EN060
Mystic Plasma Zone,2,18161786,Common,M,1st Edition,Spell Ruler,SRL-101
The Reliable Guardian,5,16430187,Common,M,1st Edition,Spell Ruler,SRL-044
Horn of the Unicorn,3,64047146,Rare,M,1st Edition,Spell Ruler,SRL-054
Megamorph,1,22046459,Ultra Rare,M,1st Edition,Spell Ruler,SRL-061
Horn of Light,2,38552107,Common,M,1st Edition,Spell Ruler,SRL-004
Crab Turtle,5,91782219,Common,M,1st Edition,Spell Ruler,SRL-EN069
Toll,1,82003859,Common,M,1st Edition,Spell Ruler,SRL-EN034
Fire Kraken,1,46534755,Common,M,1st Edition,Spell Ruler,SRL-EN014
Flash Assailant,2,96890582,Common,M,1st Edition,Spell Ruler,SRL-EN082
Dark Witch,5,35565537,Common,M,1st Edition,Spell Ruler,SRL-EN019
Rush Recklessly,3,70046172,Rare,M,1st Edition,Spell Ruler,SRL-EN043
Curse of Fiend,2,12470447,Common,M,1st Edition,Spell Ruler,SRL-EN032
Maha Vailo,1,93013676,Super Rare,M,1st Edition,Spell Ruler,SRL-012
Sonic Bird,1,57617178,Common,M,1st Edition,Spell Ruler,SRL-093
Luminous Spark,3,81777047,Common,M,1st Edition,Spell Ruler,SRL-EN100
Penguin Knight,1,36039163,Common,M,1st Edition,Spell Ruler,SRL-001
Ceremonial Bell,3,20228463,Common,M,1st Edition,Spell Ruler,SRL-092
Ancient One of the Deep Forest,1,14015067,Common,M,1st Edition,Spell Ruler,SRL-EN018
Hamburger Recipe,2,80811661,Common,M,1st Edition,Spell Ruler,SRL-063
Magical Labyrinth,4,64389297,Common,M,1st Edition,Spell Ruler,SRL-EN059
Senju of the Thousand Hands,2,23401839,Rare,M,1st Edition,Spell Ruler,SRL-080
Chain Energy,1,79323590,Common,M,1st Edition,Spell Ruler,SRL-046
UFO Turtle,1,60806437,Rare,M,1st Edition,Spell Ruler,SRL-EN081
Serpent Night Dragon,2,66516792,Secret Rare,M,1st Edition,Spell Ruler,SRL-EN103
Darkness Approaches,1,80168720,Common,M,1st Edition,Spell Ruler,SRL-040
Stone Ogre Grotto,1,15023985,Common,M,1st Edition,Spell Ruler,SRL-058
Manga Ryu-Ran,1,38369349,Rare,M,1st Edition,Spell Ruler,SRL-071
Delinquent Duo,1,44763025,Ultra Rare,M,1st Edition,Spell Ruler,SRL-EN039
Psychic Kappa,1,7892180,Common,M,1st Edition,Spell Ruler,SRL-053
Weather Report,1,72053645,Common,M,1st Edition,Spell Ruler,SRL-020
Giant Turtle Who Feeds on Flames,1,96981563,Common,M,1st Edition,Spell Ruler,SRL-022
Kotodama,2,19406822,Common,M,1st Edition,Spell Ruler,SRL-095
Shining Angel,2,95956346,Rare,M,1st Edition,Spell Ruler,SRL-088
Messenger of Peace,1,44656491,Super Rare,M,1st Edition,Spell Ruler,SRL-102
